"Numéro de mesure";"Longitude";"Latitude";"Position";"Insee";"Adresse";"Complément";"Code postal";"Commune";"Date de mesure";"Mesure réalisée";"Rapport";"Conformité de la mesure";"Niveau global";"Type d'environnement";"laboratoire";"DECT (Téléphone domestique)";"Radiodiffusion sonore (FM – RNT)";"Services HF";"PMR (Réseaux radio mobile professionnels)";"PMR - balises";"Radars - balises - FH";"Radar - BLR (Wimax)- FH";"TV";"Réseaux locaux radioélectriques ou Wifi";"TM 700 (Téléphonie Mobile en 700 MHz)_mesuré";"TM 700 (Téléphonie Mobile en 700 MHz)_extrapolé";"TM 800_mesuré";"TM 800_extrapolé";"TM 900_mesuré";"TM 900_extrapolé";"TM 1800_mesuré";"TM 1800_extrapolé";"TM 2100_mesuré";"TM 2100_extrapolé";"TM 2600_mesuré";"TM 2600_extrapolé";"TM 3600_mesuré";"TM 3600_extrapolé";"Cumul_CasB";"Cumul_CasB_TM";"Ratio_Ecart_CasA_CasB_%";"CV_services_CasB"
"156988";"3,062915";"50,635561";"50°38'8.020N 3°3'46.494E";"59350";"Rihour";"";"59000";"LILLE";"26/02/2020";"En intérieur";"R_SO9024_1_9PUB.pdf";"Oui";"1,28";"Etablissement ouvert au public (Ecole, Et Soins, Gare…)";"EXEM";"";"";"";"";"";"";"";"";"";"0,35";"";"0,18";"";"0,55";"";"0,35";"";"0,59";"";"0,37";"";"";"";"1,03194";"1,03194";"19,38";"0,344344"
"156990";"3,10868";"50,627244";"50°37'38.078N 3°6'31.248E";"59350";"Mairie d'Hellemes";"";"59260";"LILLE";"25/02/2020";"En intérieur";"R_SO9024_1_4PUB.pdf";"Oui";"2,2";"Etablissement ouvert au public (Ecole, Et Soins, Gare…)";"EXEM";"";"";"0,07";"";"";"";"";"";"";"0,31";"";"0,46";"";"1,26";"";"0,5";"";"1";"";"";"";"";"";"1,77488";"1,773499";"19,324";"0,677072"
"156992";"3,09042";"50,633104";"50°37'59.174N 3°5'25.512E";"59350";"Fives";"";"59800";"LILLE";"25/02/2020";"En intérieur";"R_SO9024_1_6PUB.pdf";"Oui";"1,11";"Etablissement ouvert au public (Ecole, Et Soins, Gare…)";"EXEM";"";"";"0,08";"";"";"";"";"";"";"0,19";"";"0,26";"";"0,64";"";"0,25";"";"0,6";"";"";"";"";"";"0,97067";"0,967368";"12,552";"0,620848"
"156996";"3,130696";"50,619192";"50°37'9.091N 3°7'50.506E";"59009";"Hôtel de Ville";"";"59491";"VILLENEUVE D ASCQ";"24/02/2020";"En intérieur";"R_SO9024_1_1PUB.pdf";"Oui";"0,54";"Etablissement ouvert au public (Ecole, Et Soins, Gare…)";"EXEM";"";"0,08";"0,06";"";"";"";"";"";"";"0,09";"";"0,29";"";"0,18";"";"0,14";"";"0,11";"";"0,14";"";"";"";"0,431161";"0,419404";"20,155";"0,501743"
"156997";"3,128164";"50,62427";"50°37'27.372N 3°7'41.390E";"59009";"Pont de Bois";"";"59491";"VILLENEUVE D ASCQ";"24/02/2020";"En intérieur";"R_SO9024_1_2PUB.pdf";"Oui";"0,4";"Etablissement ouvert au public (Ecole, Et Soins, Gare…)";"EXEM";"";"";"0,31";"";"0,12";"";"";"";"";"";"";"0,08";"";"0,08";"";"0,09";"";"0,07";"";"0,07";"";"";"";"0,375766";"0,175214";"6,059";"0,685535"
"156998";"3,050076";"50,618398";"50°37'6.233N 3°3'0.274E";"59350";"Porte des Postes";"";"59000";"LILLE";"27/02/2020";"En intérieur";"R_SO9024_1_13PUB.pdf";"Oui";"1,11";"Etablissement ouvert au public (Ecole, Et Soins, Gare…)";"EXEM";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,77";"";"";"";"0,68";"";"";"";"1,027278";"1,027278";"7,452";"0,062069"
"156999";"3,05186";"50,626101";"50°37'33.964N 3°3'6.696E";"59350";"Gambetta";"";"59000";"LILLE";"26/02/2020";"En intérieur";"R_SO9024_1_11PUB.pdf";"Oui";"3,14";"Etablissement ouvert au public (Ecole, Et Soins, Gare…)";"EXEM";"";"";"";"";"";"";"";"";"";"0,7";"";"0,66";"";"2,01";"";"0,58";"";"1,53";"";"";"";"";"";"2,764598";"2,764598";"11,955";"0,522057"
"157000";"3,115397";"50,625481";"50°37'31.732N 3°6'55.429E";"59346";"Square Flandres";"";"59260";"LEZENNES";"24/02/2020";"En intérieur";"R_SO9024_1_3PUB.pdf";"Oui";"1,37";"Etablissement ouvert au public (Ecole, Et Soins, Gare…)";"EXEM";"";"";"0,06";"";"";"";"";"";"";"0,19";"";"0,31";"";"0,49";"";"0,6";"";"0,84";"";"";"";"";"";"1,200625";"1,199125";"12,363";"0,628472"
"157001";"3,087437";"50,636615";"50°38'11.814N 3°5'14.773E";"59350";"Caulier";"";"59800";"LILLE";"25/02/2020";"En intérieur";"R_SO9024_1_7PUB.pdf";"Oui";"0,71";"Etablissement ouvert au public (Ecole, Et Soins, Gare…)";"EXEM";"";"";"";"";"";"";"";"";"";"0,18";"";"0,26";"";"0,35";"";"0,17";"";"0,33";"";"";"";"";"";"0,60025";"0,60025";"15,458";"0,287345"
"157005";"5,211339";"49,664128";"49°39'50.861N 5°12'40.820E";"08281";"La Chardrée";"";"08110";"MATTON ET CLEMENCY";"18/03/2020";"En extérieur";"R_SO9114_2_1PUB.pdf";"Oui";"0,23";"Divers";"EXEM";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
