"Numéro de mesure";"Longitude";"Latitude";"Position";"Insee";"Adresse";"Complément";"Code postal";"Commune";"Date de mesure";"Mesure réalisée";"Rapport";"Conformité de la mesure";"Niveau global";"Type d'environnement";"laboratoire";"DECT (Téléphone domestique)";"Radiodiffusion sonore (FM – RNT)";"Services HF";"PMR (Réseaux radio mobile professionnels)";"PMR - balises";"Radars - balises - FH";"Radar - BLR (Wimax)- FH";"TV";"Réseaux locaux radioélectriques ou Wifi";"TM 700 (Téléphonie Mobile en 700 MHz)_mesuré";"TM 700 (Téléphonie Mobile en 700 MHz)_extrapolé";"TM 800_mesuré";"TM 800_extrapolé";"TM 900_mesuré";"TM 900_extrapolé";"TM 1800_mesuré";"TM 1800_extrapolé";"TM 2100_mesuré";"TM 2100_extrapolé";"TM 2600_mesuré";"TM 2600_extrapolé";"TM 3600_mesuré";"TM 3600_extrapolé";"Cumul_CasB";"Cumul_CasB_TM";"Ratio_Ecart_CasA_CasB_%"
"136404";"5,468616";"43,359814";"43°21'35.330N 5°28'7.018E";"13075";"Rue Robert Debré La Montade";"";"13380";"PLAN DE CUQUES";"15/06/2018";"En intérieur";"R_SO6343_1_5PUB.pdf";"Oui";"0,18";"Etablissement ouvert au public (Ecole, Et Soins, Gare…)";"EXEM";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"136407";"5,892663";"43,134619";"43°8'4.628N 5°53'33.587E";"83137";"Rue Mademoiselle Strassel";"";"83200";"TOULON";"25/06/2018";"En intérieur";"R_SO6448_6_2PUB.pdf";"Oui";"0,25";"Lieu d'habitation";"EXEM";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"136409";"5,281935";"43,563453";"43°33'48.431N 5°16'54.966E";"13114";"Quartier Labourdière";"";"13122";"VENTABREN";"11/06/2018";"En intérieur";"R_SO6401_1_1PUB.pdf";"Oui";"2,3";"Etablissement ouvert au public (Ecole, Et Soins, Gare…)";"EXEM";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"136410";"7,319339";"43,749173";"43°44'57.023N 7°19'9.620E";"06054";"Avenue Jean Moulin";"";"06340";"DRAP";"14/06/2018";"En intérieur";"R_SO6426_1_4PUB.pdf";"Oui";"0,34";"Locaux professionnels non accessibles au public";"EXEM";"";"";"0,07";"";"0,38";"";"";"";"0,05";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,39";"";"-14,593"
"136412";"3,896241";"43,599126";"43°35'56.854N 3°53'46.468E";"34172";"Place Georges Frêche";"";"34000";"MONTPELLIER";"28/03/2018";"En extérieur";"R_SO6032_1_1PUB.pdf";"Oui";"5,35";"Rue / Route / Parking";"EXEM";"";"";"";"";"";"";"0,15";"";"0,19";"";"";"1,01";"";"2";"";"2,04";"";"2,65";"";"1,6";"";"";"";"4,339";"4,332";"18,906"
"136414";"6,830964";"43,626594";"43°37'35.738N 6°49'51.470E";"06140";"Chemin des Veyans";"";"06530";"TIGNET";"26/06/2018";"En intérieur";"R_SO6448_3_2PUB.pdf";"Oui";"0,34";"Lieu d'habitation";"EXEM";"";"";"";"";"";"";"";"";"0,11";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,11";"";"67,647"
"136418";"4,201798";"43,74246";"43°44'32.856N 4°12'6.473E";"30185";"Chemin du Champ de Mars";"";"30121";"MUS";"18/06/2018";"En extérieur";"R_SO6375_1_1PUB.pdf";"Oui";"0,5";"Lieu d'habitation";"EXEM";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"136419";"5,782113";"43,834829";"43°50'5.384N 5°46'55.607E";"04112";"Rue du Soubeyran";"";"04100";"MANOSQUE";"07/06/2018";"En intérieur";"R_SO6371_1_1PUB.pdf";"Oui";"0,19";"Lieu d'habitation";"EXEM";"";"";"0,36";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,36";"";"-89,474"
"136420";"5,46263";"43,348447";"43°20'54.409N 5°27'45.468E";"13075";"Avenue Jules Rollandin";"";"13380";"PLAN DE CUQUES";"08/06/2018";"En extérieur";"R_SO6343_1_6PUB.pdf";"Oui";"1,23";"Etablissement ouvert au public (Ecole, Et Soins, Gare…)";"EXEM";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"136421";"5,868652";"43,089443";"43°5'21.995N 5°52'7.147E";"83126";"Chemin de Fabre à Gavet";"";"83500";"SEYNE SUR MER";"12/06/2018";"En extérieur";"R_SO6385_1_1PUB.pdf";"Oui";"0,62";"Etablissement ouvert au public (Ecole, Et Soins, Gare…)";"EXEM";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
